time_100ms,cpu,cpu_util,time_relative_s
9046211,0,0.2455176,-0.301833917
9046211,1,0.05111003,-0.301833917
9046211,2,0.05936889,-0.301833917
9046211,3,0.0629476,-0.301833917
9046211,4,0.02685465,-0.301833917
9046211,7,0.00308349,-0.301833917
9046212,0,0.08329552,-0.201833917
9046212,1,0.154338,-0.201833917
9046212,2,0.05072264,-0.201833917
9046212,3,0.16037842,-0.201833917
9046212,4,0.00269409,-0.201833917
9046212,5,0.18453817,-0.201833917
9046212,6,0.71974283,-0.201833917
9046212,7,0.66860108,-0.201833917
9046213,0,0.15399618,-0.101833917
9046213,1,0.03808471,-0.101833917
9046213,2,0.07925454,-0.101833917
9046213,3,0.03282511,-0.101833917
9046213,4,0.04182739,-0.101833917
9046213,5,0.02706543,-0.101833917
9046213,6,0.03552288,-0.101833917
9046213,7,0.28237793,-0.101833917
9046214,0,0.30782472,-0.001833917
9046214,1,0.2552588,-0.001833917
9046214,2,0.49346676,-0.001833917
9046214,3,0.31739296,-0.001833917
9046214,4,0.56669551,-0.001833917
9046214,5,0.50113157,-0.001833917
9046214,6,0.51654293,-0.001833917
9046214,7,0.60237139,-0.001833917
9046215,0,1.02615598,0.098166083
9046215,1,0.88601969,0.098166083
9046215,2,0.91320394,0.098166083
9046215,3,0.8524592,0.098166083
9046215,4,0.97242026,0.098166083
9046215,5,0.9580933,0.098166083
9046215,6,0.9300961,0.098166083
9046215,7,0.83336999,0.098166083
9046216,0,0.58008911,0.198166083
9046216,1,0.41810919,0.198166083
9046216,2,0.39949217,0.198166083
9046216,3,0.45721468,0.198166083
9046216,4,0.60744218,0.198166083
9046216,5,0.92414586,0.198166083
9046216,6,0.89462482,0.198166083
9046216,7,0.36663006,0.198166083
9046217,0,0.67733925,0.298166083
9046217,1,0.73209066,0.298166083
9046217,2,0.84358318,0.298166083
9046217,3,0.83887493,0.298166083
9046217,4,0.70623213,0.298166083
9046217,5,0.76968664,0.298166083
9046217,6,0.76007926,0.298166083
9046217,7,0.35147495,0.298166083
9046218,0,0.33460084,0.398166083
9046218,1,0.24365112,0.398166083
9046218,2,0.78187624,0.398166083
9046218,3,0.53286334,0.398166083
9046218,4,0.21783807,0.398166083
9046218,5,0.44677247,0.398166083
9046218,6,0.59644616,0.398166083
9046218,7,0.0231547,0.398166083
9046219,0,0.20852011,0.498166083
9046219,1,0.17629958,0.498166083
9046219,2,0.18994462,0.498166083
9046219,3,0.3514514,0.498166083
9046219,4,0.36144407,0.498166083
9046219,5,0.40292765,0.498166083
9046219,6,0.3889429,0.498166083
9046219,7,0.00835734,0.498166083
